Spotid	Genesymbol 	0.5hours	1hours	2hours	4hours	6hours
1	YJL153C	0.82	0.12	-0.74	1.83	4.47
2	YKL143W	-4.64	-0.58	0.37	0.03	-0.29
3	YGR055W	1.39	-2.12	-3.47	-2.64	-2.94
4	YPL265W	1.99	1.41	-1.05	-2.09	-2.69
5	YNL296W	0.33	0.49	-0.06	-4.06	-1.36
6	YGR111W	0.87	4.58	0.08	0.7	0.52
7	YJL216C	0.44	-0.14	0.04	-0.07	-4.06
8	YGL255W	-3.32	-3.18	-3.47	-2	0.77
9	YDR508C	-0.6	-0.1	-0.76	-3.18	-4.32
10	YHR087W	3.65	-0.09	-0.56	-0.1	-0.25
11	YKL216W	-4.64	-3.84	-0.97	-0.51	-0.76
12	YMR250W	3.24	1.21	0.03	-0.86	-0.32
13	YDL206W	1	-2.47	1.58	0	-0.69
14	YGR088W	3.63	0.99	-0.36	0.82	1.66
15	YGL184C	4.09	2.66	1.66	0.15	1.16
16	YOR004W	-2.94	0.92	0.2	-0.25	-0.32
17	YJR070C	-3.84	-1.03	0.01	0.01	-0.12
18	YLL055W	3.81	2.52	1.2	0.31	0.08
19	YHL021C	3.26	1.57	-0.47	0.06	0.46
20	YKL078W	-4.06	-1.4	-0.36	-1.06	-0.94
21	YAL061W	3.45	0.38	-0.23	0.24	-0.06
22	YLR197W	-3.47	-1.25	0.21	-0.32	-0.62
23	YOL070C	2.45	-1.22	0.28	0.46	0.2
24	YPR184W	3.29	1.07	0.19	-0.36	0.37
25	YGR245C	-3.32	-1.22	0.3	-0.42	-0.79
26	YOR011W	2.31	1.04	0.14	-0.15	-1.3
27	YJL200C	-1.22	2.39	1.73	2.01	1.29
28	YOR120W	2.78	1.84	1.56	-0.82	0.91
29	YDL204W	3.73	0.93	0.14	0.67	0.81
30	YML128C	3.87	2.2	0.3	1.44	1.29
31	YBL039C	-3.47	-1	0.08	-0.14	-0.45
32	YOL157C	1.16	-1.89	-0.64	-2.39	-0.01
33	YCL025C	0.98	-2.32	-2.56	-2.47	-1.69
34	YPL136W	1.24	0.7	0.38	-2.29	-1.78
35	YOL152W	1.53	-0.07	-1.98	0.8	-0.36
36	YMR217W	-2.84	-0.94	0.67	-0.64	-0.62
37	YPL230W	3.15	0.82	0.42	-0.33	-0.33
38	YOR127W	1.45	-0.56	-0.64	-2.02	-0.25
39	YNL195C	3.06	0.29	-0.03	-0.07	-0.4
40	YLR198C	-3.18	-1.03	0.26	-0.43	-0.69
41	YDR465C	-3.47	-1.22	-0.03	-0.45	-0.49
42	YNL174W	-3.32	-1.12	0.11	-1.12	-0.84
43	YOL091W	2.46	-0.04	-0.54	-0.49	-0.94
44	YOL072W	2.85	0.23	1.46	-0.09	-0.54
45	YOR133W	-2.06	-1.29	-0.43	-1.18	1.32
46	YDR074W	2.24	0.5	-0.09	-1.12	-0.45
47	YLL061W	2.62	1.17	-0.03	-0.38	-0.74
48	YLR348C	-0.27	0.55	-0.89	2.46	1.04
49	YFL051C	1.1	-0.07	0.2	-0.84	-2.25
50	YMR117C	-2.64	-3.84	-2.12	-1	-0.51
51	YER178W	-1.79	0.24	0.7	1.54	0.23
52	YGL120C	-3.18	-0.89	0.15	-0.69	-0.17
53	YLR175W	-3.64	-0.94	-0.36	-0.32	-0.32
54	YJR071W	-3.47	-0.74	-0.32	-0.15	-0.23
55	YNL248C	-3.84	-0.54	-0.79	-0.84	-0.94
56	YNL198C	-0.18	2.14	-0.6	-0.81	-1.12
57	YGL123W	-3.18	-1.94	-0.38	0.08	-0.36
58	YMR305C	-2.64	-0.42	0.2	0.01	0.62
59	YOL084W	2.79	0.78	-0.46	-0.3	0.58
60	YAL067C	2.8	0.5	0.08	-0.45	-0.43
61	YIL136W	3.25	0.87	0.01	0.78	0.99
62	YLR178C	3.82	1.8	0.59	1.31	1.66
63	YCL040W	2.61	0.7	-0.62	1.01	1.08
64	YPL220W	-3	-1.52	-0.29	0.23	-0.39
65	YMR093W	-2.47	-0.92	0.75	-0.6	-0.43
66	YGL055W	-3.06	-0.69	-0.34	-0.67	0.16
